instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,-9.97867962824e-05,-9.97867962824e-05,2025-07-07 16:00:00+00:00,2025-07-07
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-07 08:00:00+00:00,2025-07-07
1INCH-USDT-SWAP,SWAP,-0.0002824900283104,-0.0002824900283104,2025-07-07 00:00:00+00:00,2025-07-07
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 08:00:00+00:00,2025-07-07
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 20:00:00+00:00,2025-07-07
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 00:00:00+00:00,2025-07-07
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 12:00:00+00:00,2025-07-07
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 16:00:00+00:00,2025-07-07
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 04:00:00+00:00,2025-07-07
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-07 00:00:00+00:00,2025-07-07
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-07 16:00:00+00:00,2025-07-07
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-07 08:00:00+00:00,2025-07-07
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 16:00:00+00:00,2025-07-07
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 04:00:00+00:00,2025-07-07
ACE-USDT-SWAP,SWAP,-1.3337954864e-06,-1.3337954864e-06,2025-07-07 12:00:00+00:00,2025-07-07
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 20:00:00+00:00,2025-07-07
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 00:00:00+00:00,2025-07-07
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 08:00:00+00:00,2025-07-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 12:00:00+00:00,2025-07-07
ACH-USDT-SWAP,SWAP,-5.19329603896e-05,-5.19329603896e-05,2025-07-07 16:00:00+00:00,2025-07-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 20:00:00+00:00,2025-07-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 00:00:00+00:00,2025-07-07
ACH-USDT-SWAP,SWAP,-2.7808763191e-05,-2.7808763191e-05,2025-07-07 04:00:00+00:00,2025-07-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 08:00:00+00:00,2025-07-07
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 08:00:00+00:00,2025-07-07
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 00:00:00+00:00,2025-07-07
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 04:00:00+00:00,2025-07-07
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 20:00:00+00:00,2025-07-07
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 12:00:00+00:00,2025-07-07
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-07 16:00:00+00:00,2025-07-07
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-07-07 16:00:00+00:00,2025-07-07
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-07-07 00:00:00+00:00,2025-07-07
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-07-07 08:00:00+00:00,2025-07-07
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-07 00:00:00+00:00,2025-07-07
ADA-USDT-SWAP,SWAP,7.6335470247e-05,7.6335470247e-05,2025-07-07 08:00:00+00:00,2025-07-07
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-07 16:00:00+00:00,2025-07-07
