instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-09-01 00:00:00+00:00,2025-09-01
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-09-01 16:00:00+00:00,2025-09-01
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-09-01 08:00:00+00:00,2025-09-01
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 20:00:00+00:00,2025-09-01
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 04:00:00+00:00,2025-09-01
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 16:00:00+00:00,2025-09-01
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 08:00:00+00:00,2025-09-01
A-USDT-SWAP,SWAP,8.0784012739e-06,8.0784012739e-06,2025-09-01 12:00:00+00:00,2025-09-01
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 00:00:00+00:00,2025-09-01
AAVE-USDT-SWAP,SWAP,6.45692827955e-05,6.45692827955e-05,2025-09-01 08:00:00+00:00,2025-09-01
AAVE-USDT-SWAP,SWAP,7.68052075543e-05,7.68052075543e-05,2025-09-01 16:00:00+00:00,2025-09-01
AAVE-USDT-SWAP,SWAP,5.63481296041e-05,5.63481296041e-05,2025-09-01 00:00:00+00:00,2025-09-01
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 20:00:00+00:00,2025-09-01
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 12:00:00+00:00,2025-09-01
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 16:00:00+00:00,2025-09-01
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 00:00:00+00:00,2025-09-01
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 04:00:00+00:00,2025-09-01
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 08:00:00+00:00,2025-09-01
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 12:00:00+00:00,2025-09-01
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 04:00:00+00:00,2025-09-01
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-09-01 08:00:00+00:00,2025-09-01
