instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USD-SWAP,SWAP,-0.0001147117465752,-0.0002150275220825,2024-07-22 00:00:00+00:00,2024-07-22
1INCH-USD-SWAP,SWAP,4.97996759545e-05,1.69456089756e-05,2024-07-22 16:00:00+00:00,2024-07-22
1INCH-USD-SWAP,SWAP,-0.000213315289298,4.88319307476e-05,2024-07-22 08:00:00+00:00,2024-07-22
1INCH-USDT-SWAP,SWAP,-4.19554266978e-05,1.9664471369e-05,2024-07-22 00:00:00+00:00,2024-07-22
1INCH-USDT-SWAP,SWAP,0.0001238818137963,-1.1751414819e-05,2024-07-22 16:00:00+00:00,2024-07-22
1INCH-USDT-SWAP,SWAP,2.11335042593e-05,0.0001234035843301,2024-07-22 08:00:00+00:00,2024-07-22
AAVE-USDT-SWAP,SWAP,-5.49729479965e-05,-4.2653571055e-05,2024-07-22 08:00:00+00:00,2024-07-22
AAVE-USDT-SWAP,SWAP,0.0001081996257922,-5.48588527671e-05,2024-07-22 00:00:00+00:00,2024-07-22
AAVE-USDT-SWAP,SWAP,-3.99885262528e-05,3.05966619298e-05,2024-07-22 16:00:00+00:00,2024-07-22
ACE-USDT-SWAP,SWAP,0.0001223889223646,-7.13764866579e-05,2024-07-22 00:00:00+00:00,2024-07-22
ACE-USDT-SWAP,SWAP,-6.90100326332e-05,9.73519047421e-05,2024-07-22 08:00:00+00:00,2024-07-22
ACE-USDT-SWAP,SWAP,9.60085289755e-05,5.22404599402e-05,2024-07-22 16:00:00+00:00,2024-07-22
ACH-USDT-SWAP,SWAP,8.76575517558e-05,-0.0001203677654776,2024-07-22 00:00:00+00:00,2024-07-22
ACH-USDT-SWAP,SWAP,-0.0001220292793869,3.73399618392e-05,2024-07-22 08:00:00+00:00,2024-07-22
ACH-USDT-SWAP,SWAP,3.65262034465e-05,5.89039371704e-05,2024-07-22 16:00:00+00:00,2024-07-22
ADA-USD-SWAP,SWAP,0.0001493439948158,1.56951619666e-05,2024-07-22 00:00:00+00:00,2024-07-22
ADA-USD-SWAP,SWAP,1.66635349162e-05,0.0001017500803724,2024-07-22 08:00:00+00:00,2024-07-22
ADA-USD-SWAP,SWAP,0.0001021895396706,3.05102969902e-05,2024-07-22 16:00:00+00:00,2024-07-22
ADA-USDT-SWAP,SWAP,2.13895892586e-05,4.45409795578e-05,2024-07-22 08:00:00+00:00,2024-07-22
ADA-USDT-SWAP,SWAP,4.54644846263e-05,0.0001002452160453,2024-07-22 16:00:00+00:00,2024-07-22
ADA-USDT-SWAP,SWAP,7.85667951479e-05,2.09052057818e-05,2024-07-22 00:00:00+00:00,2024-07-22
AEVO-USDT-SWAP,SWAP,0.0001618065295655,-0.0001607813918332,2024-07-22 00:00:00+00:00,2024-07-22
AEVO-USDT-SWAP,SWAP,5.478328968e-06,-9.1401588224e-06,2024-07-22 16:00:00+00:00,2024-07-22
AEVO-USDT-SWAP,SWAP,-0.0001603942277577,3.1761522581e-06,2024-07-22 08:00:00+00:00,2024-07-22
AGLD-USDT-SWAP,SWAP,0.0002354889828657,0.0001031666999045,2024-07-22 16:00:00+00:00,2024-07-22
AGLD-USDT-SWAP,SWAP,-6.72805168915e-05,-1.44028636955e-05,2024-07-22 00:00:00+00:00,2024-07-22
AGLD-USDT-SWAP,SWAP,-1.03092255702e-05,0.0002368566366948,2024-07-22 08:00:00+00:00,2024-07-22
AIDOGE-USDT-SWAP,SWAP,-0.0004155210493291,-4.33440627598e-05,2024-07-22 00:00:00+00:00,2024-07-22
AIDOGE-USDT-SWAP,SWAP,-4.20299998589e-05,-1.25536473894e-05,2024-07-22 08:00:00+00:00,2024-07-22
AIDOGE-USDT-SWAP,SWAP,-8.1806453138e-06,-7.83781124947e-05,2024-07-22 16:00:00+00:00,2024-07-22
ALGO-USD-SWAP,SWAP,-1.52864969973e-05,0.0001144979653516,2024-07-22 08:00:00+00:00,2024-07-22
ALGO-USD-SWAP,SWAP,0.0002443319279754,-1.79506354136e-05,2024-07-22 00:00:00+00:00,2024-07-22
ALGO-USD-SWAP,SWAP,0.0001131499459967,-0.0001287080615481,2024-07-22 16:00:00+00:00,2024-07-22
ALGO-USDT-SWAP,SWAP,0.0001267599948079,-3.69923223407e-05,2024-07-22 00:00:00+00:00,2024-07-22
ALGO-USDT-SWAP,SWAP,-3.56623772304e-05,0.0001742265300768,2024-07-22 08:00:00+00:00,2024-07-22
ALGO-USDT-SWAP,SWAP,0.0001729049095623,-7.11386728222e-05,2024-07-22 16:00:00+00:00,2024-07-22
ALPHA-USDT-SWAP,SWAP,-8.16829487907e-05,1.54951439098e-05,2024-07-22 08:00:00+00:00,2024-07-22
ALPHA-USDT-SWAP,SWAP,1.33745413474e-05,-0.0001403909050862,2024-07-22 16:00:00+00:00,2024-07-22
ALPHA-USDT-SWAP,SWAP,4.2688125678e-05,-8.35773146033e-05,2024-07-22 00:00:00+00:00,2024-07-22
APE-USDT-SWAP,SWAP,7.47724057403e-05,1.89820678013e-05,2024-07-22 00:00:00+00:00,2024-07-22
APE-USDT-SWAP,SWAP,1.32403608933e-05,-0.0001448538095152,2024-07-22 16:00:00+00:00,2024-07-22
APE-USDT-SWAP,SWAP,1.9482983618e-05,1.20347141725e-05,2024-07-22 08:00:00+00:00,2024-07-22
API3-USDT-SWAP,SWAP,2.03624940931e-05,-4.677375594e-05,2024-07-22 16:00:00+00:00,2024-07-22
API3-USDT-SWAP,SWAP,6.58421612593e-05,-1.8975634152e-06,2024-07-22 00:00:00+00:00,2024-07-22
API3-USDT-SWAP,SWAP,2.1746008024e-06,2.3411550942e-05,2024-07-22 08:00:00+00:00,2024-07-22
APT-USDT-SWAP,SWAP,-2.8248824885e-05,-0.0001643930608597,2024-07-22 00:00:00+00:00,2024-07-22
APT-USDT-SWAP,SWAP,-0.000162856002259,9.15129781449e-05,2024-07-22 08:00:00+00:00,2024-07-22
APT-USDT-SWAP,SWAP,9.17288714616e-05,-0.0001038813618039,2024-07-22 16:00:00+00:00,2024-07-22
AR-USDT-SWAP,SWAP,-1.08144555801e-05,6.4196387255e-05,2024-07-22 00:00:00+00:00,2024-07-22
AR-USDT-SWAP,SWAP,6.43832277082e-05,-1.46962376281e-05,2024-07-22 08:00:00+00:00,2024-07-22
AR-USDT-SWAP,SWAP,-1.37573137786e-05,-5.65920510986e-05,2024-07-22 16:00:00+00:00,2024-07-22
ARB-USDT-SWAP,SWAP,9.48710843127e-05,6.28394018183e-05,2024-07-22 00:00:00+00:00,2024-07-22
ARB-USDT-SWAP,SWAP,0.0001177220013971,-3.32870384024e-05,2024-07-22 16:00:00+00:00,2024-07-22
ARB-USDT-SWAP,SWAP,6.33765833883e-05,0.0001169464518216,2024-07-22 08:00:00+00:00,2024-07-22
ATH-USDT-SWAP,SWAP,0.0001176313082297,0.0001507944365324,2024-07-22 00:00:00+00:00,2024-07-22
ATH-USDT-SWAP,SWAP,0.0001523254294328,7.89453162796e-05,2024-07-22 08:00:00+00:00,2024-07-22
ATH-USDT-SWAP,SWAP,7.79282083722e-05,-1.86461136288e-05,2024-07-22 16:00:00+00:00,2024-07-22
ATOM-USD-SWAP,SWAP,-1.95568505752e-05,9.301416573e-05,2024-07-22 00:00:00+00:00,2024-07-22
ATOM-USD-SWAP,SWAP,-6.87047972222e-05,0.0001512253586309,2024-07-22 16:00:00+00:00,2024-07-22
ATOM-USD-SWAP,SWAP,9.30155273009e-05,-7.04630485332e-05,2024-07-22 08:00:00+00:00,2024-07-22
ATOM-USDT-SWAP,SWAP,8.88093233117e-05,-6.95514237405e-05,2024-07-22 00:00:00+00:00,2024-07-22
ATOM-USDT-SWAP,SWAP,5.352223381e-07,-5.69613055185e-05,2024-07-22 16:00:00+00:00,2024-07-22
ATOM-USDT-SWAP,SWAP,-6.89008428463e-05,8.516649952e-07,2024-07-22 08:00:00+00:00,2024-07-22
AUCTION-USDT-SWAP,SWAP,-3.6874915896e-05,-4.57416022889e-05,2024-07-22 00:00:00+00:00,2024-07-22
AUCTION-USDT-SWAP,SWAP,0.0003387491968859,-0.0003113137760851,2024-07-22 16:00:00+00:00,2024-07-22
AUCTION-USDT-SWAP,SWAP,-4.54803215415e-05,0.0003358381910605,2024-07-22 08:00:00+00:00,2024-07-22
AVAX-USD-SWAP,SWAP,3.45856264889e-05,2.7341570358e-05,2024-07-22 00:00:00+00:00,2024-07-22
AVAX-USD-SWAP,SWAP,2.84738887952e-05,5.20607877221e-05,2024-07-22 08:00:00+00:00,2024-07-22
AVAX-USD-SWAP,SWAP,5.28970415361e-05,2.39546214535e-05,2024-07-22 16:00:00+00:00,2024-07-22
AVAX-USDT-SWAP,SWAP,2.9058864811e-05,6.61848035447e-05,2024-07-22 00:00:00+00:00,2024-07-22
AVAX-USDT-SWAP,SWAP,6.60267943847e-05,2.86794694709e-05,2024-07-22 08:00:00+00:00,2024-07-22
AVAX-USDT-SWAP,SWAP,2.90539717588e-05,1.01648694964e-05,2024-07-22 16:00:00+00:00,2024-07-22
AXS-USDT-SWAP,SWAP,-0.000215906167422,3.8505839015e-05,2024-07-22 08:00:00+00:00,2024-07-22
AXS-USDT-SWAP,SWAP,1.75267004179e-05,-0.0002173943939229,2024-07-22 00:00:00+00:00,2024-07-22
AXS-USDT-SWAP,SWAP,3.96407343836e-05,-0.0001057367105114,2024-07-22 16:00:00+00:00,2024-07-22
BADGER-USDT-SWAP,SWAP,-7.63194509753e-05,7.8041841126e-05,2024-07-22 00:00:00+00:00,2024-07-22
BADGER-USDT-SWAP,SWAP,7.86469358672e-05,-0.0001409447614953,2024-07-22 08:00:00+00:00,2024-07-22
BADGER-USDT-SWAP,SWAP,-0.0001427685643632,-0.0003280412174056,2024-07-22 16:00:00+00:00,2024-07-22
BAL-USDT-SWAP,SWAP,9.40873744914e-05,0.0002192849947134,2024-07-22 00:00:00+00:00,2024-07-22
BAL-USDT-SWAP,SWAP,-0.0001432890766138,-7.30388258631e-05,2024-07-22 16:00:00+00:00,2024-07-22
BAL-USDT-SWAP,SWAP,0.0002224497626206,-0.0001433160156584,2024-07-22 08:00:00+00:00,2024-07-22
BAND-USDT-SWAP,SWAP,1.36326132404e-05,-4.21520506303e-05,2024-07-22 00:00:00+00:00,2024-07-22
BAND-USDT-SWAP,SWAP,-4.51415752932e-05,-0.0001385385038516,2024-07-22 08:00:00+00:00,2024-07-22
BAND-USDT-SWAP,SWAP,-0.0001371567011305,0.0001480599710218,2024-07-22 16:00:00+00:00,2024-07-22
BAT-USDT-SWAP,SWAP,3.04692225929e-05,-0.0001822670248285,2024-07-22 16:00:00+00:00,2024-07-22
BAT-USDT-SWAP,SWAP,0.0002489460779101,2.84294468236e-05,2024-07-22 08:00:00+00:00,2024-07-22
BAT-USDT-SWAP,SWAP,-6.45005822373e-05,0.0002489439883042,2024-07-22 00:00:00+00:00,2024-07-22
BCH-USD-SWAP,SWAP,-5.06661843064e-05,0.0001334680802857,2024-07-22 00:00:00+00:00,2024-07-22
BCH-USD-SWAP,SWAP,0.0001340004898763,1.70505106167e-05,2024-07-22 08:00:00+00:00,2024-07-22
BCH-USD-SWAP,SWAP,1.96534035582e-05,-1.15500294954e-05,2024-07-22 16:00:00+00:00,2024-07-22
BCH-USDT-SWAP,SWAP,-0.000157466199347,-4.74753606985e-05,2024-07-22 16:00:00+00:00,2024-07-22
BCH-USDT-SWAP,SWAP,-1.068273147e-07,-1.0657447681e-06,2024-07-22 00:00:00+00:00,2024-07-22
BCH-USDT-SWAP,SWAP,-4.5766499e-09,-0.0001569307364375,2024-07-22 08:00:00+00:00,2024-07-22
BICO-USDT-SWAP,SWAP,-3.10515133196e-05,6.87515444163e-05,2024-07-22 16:00:00+00:00,2024-07-22
BICO-USDT-SWAP,SWAP,-0.0001255068210412,-3.01399030512e-05,2024-07-22 08:00:00+00:00,2024-07-22
BICO-USDT-SWAP,SWAP,7.6549299463e-05,-0.0001261164989424,2024-07-22 00:00:00+00:00,2024-07-22
BIGTIME-USDT-SWAP,SWAP,0.0001205375663853,3.55910088636e-05,2024-07-22 00:00:00+00:00,2024-07-22
BIGTIME-USDT-SWAP,SWAP,3.95593594638e-05,-8.25238380074e-05,2024-07-22 08:00:00+00:00,2024-07-22
BIGTIME-USDT-SWAP,SWAP,-8.64703906605e-05,0.000203012013608,2024-07-22 16:00:00+00:00,2024-07-22
BLOCK-USDT-SWAP,SWAP,-0.0008273365876735,-0.0017216702118632,2024-07-22 08:00:00+00:00,2024-07-22
BLOCK-USDT-SWAP,SWAP,-0.0017197527685919,0.0005450941741602,2024-07-22 16:00:00+00:00,2024-07-22
BLOCK-USDT-SWAP,SWAP,0.0004066948203014,-0.0008235060421509,2024-07-22 00:00:00+00:00,2024-07-22
BLUR-USDT-SWAP,SWAP,0.000101355058864,4.43826462167e-05,2024-07-22 00:00:00+00:00,2024-07-22
