instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,6.86274908e-06,6.86274908e-06,2025-06-14 16:00:00+00:00,2025-06-14
1INCH-USDT-SWAP,SWAP,-6.10497991705e-05,-6.10497991705e-05,2025-06-14 00:00:00+00:00,2025-06-14
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-06-14 08:00:00+00:00,2025-06-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 08:00:00+00:00,2025-06-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 12:00:00+00:00,2025-06-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 16:00:00+00:00,2025-06-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 20:00:00+00:00,2025-06-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 00:00:00+00:00,2025-06-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 04:00:00+00:00,2025-06-14
AAVE-USDT-SWAP,SWAP,6.57552437707e-05,6.57552437707e-05,2025-06-14 08:00:00+00:00,2025-06-14
AAVE-USDT-SWAP,SWAP,1.55476116043e-05,1.55476116043e-05,2025-06-14 16:00:00+00:00,2025-06-14
AAVE-USDT-SWAP,SWAP,4.67312020397e-05,4.67312020397e-05,2025-06-14 00:00:00+00:00,2025-06-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 12:00:00+00:00,2025-06-14
ACE-USDT-SWAP,SWAP,4.49565680336e-05,4.49565680336e-05,2025-06-14 04:00:00+00:00,2025-06-14
ACE-USDT-SWAP,SWAP,2.77908925403e-05,2.77908925403e-05,2025-06-14 20:00:00+00:00,2025-06-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 00:00:00+00:00,2025-06-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 08:00:00+00:00,2025-06-14
ACE-USDT-SWAP,SWAP,-1.30114137718e-05,-1.30114137718e-05,2025-06-14 16:00:00+00:00,2025-06-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 12:00:00+00:00,2025-06-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 16:00:00+00:00,2025-06-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 20:00:00+00:00,2025-06-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 08:00:00+00:00,2025-06-14
ACH-USDT-SWAP,SWAP,8.2927277811e-06,8.2927277811e-06,2025-06-14 00:00:00+00:00,2025-06-14
ACH-USDT-SWAP,SWAP,4.90559577781e-05,4.90559577781e-05,2025-06-14 04:00:00+00:00,2025-06-14
ACT-USDT-SWAP,SWAP,7.0200728791e-06,7.0200728791e-06,2025-06-14 08:00:00+00:00,2025-06-14
ACT-USDT-SWAP,SWAP,-6.45989141631e-05,-6.45989141631e-05,2025-06-14 12:00:00+00:00,2025-06-14
ACT-USDT-SWAP,SWAP,3.06695069405e-05,3.06695069405e-05,2025-06-14 00:00:00+00:00,2025-06-14
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-06-14 16:00:00+00:00,2025-06-14
ACT-USDT-SWAP,SWAP,2.68638862379e-05,2.68638862379e-05,2025-06-14 20:00:00+00:00,2025-06-14
ACT-USDT-SWAP,SWAP,-2.57035019158e-05,-2.57035019158e-05,2025-06-14 04:00:00+00:00,2025-06-14
ADA-USD-SWAP,SWAP,3.62415156597e-05,3.62415156597e-05,2025-06-14 00:00:00+00:00,2025-06-14
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-06-14 08:00:00+00:00,2025-06-14
ADA-USD-SWAP,SWAP,7.7068534885e-06,7.7068534885e-06,2025-06-14 16:00:00+00:00,2025-06-14
