instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,-3.45573536865e-05,-3.45573536865e-05,2025-08-22 00:00:00+00:00,2025-08-22
1INCH-USDT-SWAP,SWAP,7.81278995519e-05,7.81278995519e-05,2025-08-22 16:00:00+00:00,2025-08-22
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-08-22 08:00:00+00:00,2025-08-22
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 16:00:00+00:00,2025-08-22
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 08:00:00+00:00,2025-08-22
A-USDT-SWAP,SWAP,-1.48421239254e-05,-1.48421239254e-05,2025-08-22 20:00:00+00:00,2025-08-22
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 12:00:00+00:00,2025-08-22
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 00:00:00+00:00,2025-08-22
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 04:00:00+00:00,2025-08-22
AAVE-USDT-SWAP,SWAP,-4.22867118267e-05,-4.22867118267e-05,2025-08-22 16:00:00+00:00,2025-08-22
AAVE-USDT-SWAP,SWAP,5.02182592107e-05,5.02182592107e-05,2025-08-22 08:00:00+00:00,2025-08-22
AAVE-USDT-SWAP,SWAP,5.33034196609e-05,5.33034196609e-05,2025-08-22 00:00:00+00:00,2025-08-22
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 16:00:00+00:00,2025-08-22
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 04:00:00+00:00,2025-08-22
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 08:00:00+00:00,2025-08-22
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 12:00:00+00:00,2025-08-22
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 00:00:00+00:00,2025-08-22
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 20:00:00+00:00,2025-08-22
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 08:00:00+00:00,2025-08-22
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 12:00:00+00:00,2025-08-22
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 20:00:00+00:00,2025-08-22
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 04:00:00+00:00,2025-08-22
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 16:00:00+00:00,2025-08-22
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 00:00:00+00:00,2025-08-22
ACT-USDT-SWAP,SWAP,2.93936172068e-05,2.93936172068e-05,2025-08-22 12:00:00+00:00,2025-08-22
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 00:00:00+00:00,2025-08-22
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 16:00:00+00:00,2025-08-22
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 20:00:00+00:00,2025-08-22
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 08:00:00+00:00,2025-08-22
ACT-USDT-SWAP,SWAP,4.99385741126e-05,4.99385741126e-05,2025-08-22 04:00:00+00:00,2025-08-22
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-08-22 00:00:00+00:00,2025-08-22
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-08-22 08:00:00+00:00,2025-08-22
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-08-22 16:00:00+00:00,2025-08-22
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-08-22 00:00:00+00:00,2025-08-22
ADA-USDT-SWAP,SWAP,7.6551799765e-05,7.6551799765e-05,2025-08-22 16:00:00+00:00,2025-08-22
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-08-22 08:00:00+00:00,2025-08-22
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 20:00:00+00:00,2025-08-22
AERO-USDT-SWAP,SWAP,-0.000527377686117,-0.000527377686117,2025-08-22 12:00:00+00:00,2025-08-22
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 16:00:00+00:00,2025-08-22
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 08:00:00+00:00,2025-08-22
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 00:00:00+00:00,2025-08-22
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 04:00:00+00:00,2025-08-22
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 08:00:00+00:00,2025-08-22
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-22 16:00:00+00:00,2025-08-22
AEVO-USDT-SWAP,SWAP,3.48554080095e-05,3.48554080095e-05,2025-08-22 12:00:00+00:00,2025-08-22
AEVO-USDT-SWAP,SWAP,-4.831307349e-07,-4.831307349e-07,2025-08-22 20:00:00+00:00,2025-08-22
AEVO-USDT-SWAP,SWAP,-4.00016527291e-05,-4.00016527291e-05,2025-08-22 00:00:00+00:00,2025-08-22
