instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-08-21 00:00:00+00:00,2025-08-21
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-08-21 08:00:00+00:00,2025-08-21
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-08-21 16:00:00+00:00,2025-08-21
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 08:00:00+00:00,2025-08-21
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 00:00:00+00:00,2025-08-21
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 04:00:00+00:00,2025-08-21
A-USDT-SWAP,SWAP,-8.4343803614e-06,-8.4343803614e-06,2025-08-21 12:00:00+00:00,2025-08-21
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 16:00:00+00:00,2025-08-21
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 20:00:00+00:00,2025-08-21
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-08-21 16:00:00+00:00,2025-08-21
AAVE-USDT-SWAP,SWAP,4.13048379734e-05,4.13048379734e-05,2025-08-21 00:00:00+00:00,2025-08-21
AAVE-USDT-SWAP,SWAP,5.86105943449e-05,5.86105943449e-05,2025-08-21 08:00:00+00:00,2025-08-21
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 16:00:00+00:00,2025-08-21
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 20:00:00+00:00,2025-08-21
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 08:00:00+00:00,2025-08-21
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 04:00:00+00:00,2025-08-21
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 12:00:00+00:00,2025-08-21
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 00:00:00+00:00,2025-08-21
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 16:00:00+00:00,2025-08-21
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 00:00:00+00:00,2025-08-21
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 08:00:00+00:00,2025-08-21
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 12:00:00+00:00,2025-08-21
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 20:00:00+00:00,2025-08-21
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 04:00:00+00:00,2025-08-21
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 08:00:00+00:00,2025-08-21
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 12:00:00+00:00,2025-08-21
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 16:00:00+00:00,2025-08-21
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 20:00:00+00:00,2025-08-21
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 04:00:00+00:00,2025-08-21
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 00:00:00+00:00,2025-08-21
ADA-USD-SWAP,SWAP,5.68399952842e-05,5.68399952842e-05,2025-08-21 00:00:00+00:00,2025-08-21
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-08-21 16:00:00+00:00,2025-08-21
ADA-USD-SWAP,SWAP,9.18293064195e-05,9.18293064195e-05,2025-08-21 08:00:00+00:00,2025-08-21
ADA-USDT-SWAP,SWAP,8.99392407159e-05,8.99392407159e-05,2025-08-21 16:00:00+00:00,2025-08-21
ADA-USDT-SWAP,SWAP,2.13140335821e-05,2.13140335821e-05,2025-08-21 00:00:00+00:00,2025-08-21
ADA-USDT-SWAP,SWAP,5.5325380044e-05,5.5325380044e-05,2025-08-21 08:00:00+00:00,2025-08-21
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 12:00:00+00:00,2025-08-21
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 16:00:00+00:00,2025-08-21
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 20:00:00+00:00,2025-08-21
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 04:00:00+00:00,2025-08-21
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 08:00:00+00:00,2025-08-21
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 00:00:00+00:00,2025-08-21
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 12:00:00+00:00,2025-08-21
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 16:00:00+00:00,2025-08-21
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 20:00:00+00:00,2025-08-21
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 08:00:00+00:00,2025-08-21
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 04:00:00+00:00,2025-08-21
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-08-21 00:00:00+00:00,2025-08-21
