instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,-0.00087367007416,-2.81998617671e-05,2025-05-30 00:00:00+00:00,2025-05-30
1INCH-USDT-SWAP,SWAP,-0.0012171766482419,0.0001,2025-05-30 16:00:00+00:00,2025-05-30
1INCH-USDT-SWAP,SWAP,0.0001,-2.81998617671e-05,2025-05-30 00:00:00+00:00,2025-05-30
1INCH-USDT-SWAP,SWAP,9.8689697694e-06,0.0001,2025-05-30 16:00:00+00:00,2025-05-30
1INCH-USDT-SWAP,SWAP,-2.62102507343e-05,1.38649045246e-05,2025-05-30 08:00:00+00:00,2025-05-30
1INCH-USDT-SWAP,SWAP,-0.0010617921167849,1.38649045246e-05,2025-05-30 08:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 20:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 04:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,-7.76029041263e-05,-7.76029041263e-05,2025-05-30 12:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 08:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,-0.0008053578686642,5e-05,2025-05-30 08:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,-0.0004021406197713,5e-05,2025-05-30 16:00:00+00:00,2025-05-30
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 16:00:00+00:00,2025-05-30
AAVE-USDT-SWAP,SWAP,0.0001,1.59731513338e-05,2025-05-30 16:00:00+00:00,2025-05-30
AAVE-USDT-SWAP,SWAP,-0.0005119103918425,0.0001,2025-05-30 00:00:00+00:00,2025-05-30
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-30 00:00:00+00:00,2025-05-30
AAVE-USDT-SWAP,SWAP,-0.0005588740110383,1.59731513338e-05,2025-05-30 16:00:00+00:00,2025-05-30
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-30 08:00:00+00:00,2025-05-30
AAVE-USDT-SWAP,SWAP,-0.0004817482386889,0.0001,2025-05-30 08:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,-0.0010676717166964,5e-05,2025-05-30 16:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 16:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 04:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 12:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 20:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,-0.0013669613807208,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,-0.0011937605339807,5e-05,2025-05-30 08:00:00+00:00,2025-05-30
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 08:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,-0.0006266607317825,5e-05,2025-05-30 08:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 08:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 04:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,-6.06018166083e-05,-6.06018166083e-05,2025-05-30 12:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 20:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 16:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,-0.0006446779562894,5e-05,2025-05-30 16:00:00+00:00,2025-05-30
ACH-USDT-SWAP,SWAP,-0.0004113110248608,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,5e-05,-3.9579312784e-06,2025-05-30 08:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,-0.0004540501522561,-3.9579312784e-06,2025-05-30 08:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,-6.99837978484e-05,-6.99837978484e-05,2025-05-30 04:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,-7.75684558414e-05,-7.75684558414e-05,2025-05-30 12:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 20:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,-5.9103204295e-06,-8.42798816235e-05,2025-05-30 16:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,-0.0008722910315326,-8.42798816235e-05,2025-05-30 16:00:00+00:00,2025-05-30
ACT-USDT-SWAP,SWAP,-0.000192524289747,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
ADA-USD-SWAP,SWAP,-0.000457987628743,0.0001,2025-05-30 00:00:00+00:00,2025-05-30
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-05-30 00:00:00+00:00,2025-05-30
ADA-USD-SWAP,SWAP,0.0001,-1.73173858779e-05,2025-05-30 08:00:00+00:00,2025-05-30
ADA-USD-SWAP,SWAP,-0.0004904528510709,-1.73173858779e-05,2025-05-30 08:00:00+00:00,2025-05-30
ADA-USD-SWAP,SWAP,-1.89282156194e-05,-0.0001054002720565,2025-05-30 16:00:00+00:00,2025-05-30
ADA-USD-SWAP,SWAP,-0.0006660827336045,-0.0001054002720565,2025-05-30 16:00:00+00:00,2025-05-30
ADA-USDT-SWAP,SWAP,-0.0006006734968794,-6.99091013416e-05,2025-05-30 16:00:00+00:00,2025-05-30
ADA-USDT-SWAP,SWAP,1.14633741708e-05,-6.99091013416e-05,2025-05-30 16:00:00+00:00,2025-05-30
ADA-USDT-SWAP,SWAP,-0.0004078736525688,1.1911719738e-05,2025-05-30 08:00:00+00:00,2025-05-30
ADA-USDT-SWAP,SWAP,0.0001,1.1911719738e-05,2025-05-30 08:00:00+00:00,2025-05-30
ADA-USDT-SWAP,SWAP,-0.0004298850044228,0.0001,2025-05-30 00:00:00+00:00,2025-05-30
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-30 00:00:00+00:00,2025-05-30
AEVO-USDT-SWAP,SWAP,-6.38402031143e-05,-9.76932445134e-05,2025-05-30 16:00:00+00:00,2025-05-30
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 04:00:00+00:00,2025-05-30
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 20:00:00+00:00,2025-05-30
AEVO-USDT-SWAP,SWAP,-4.29560631245e-05,-4.29560631245e-05,2025-05-30 12:00:00+00:00,2025-05-30
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-30 00:00:00+00:00,2025-05-30
