instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,-0.0013914742082637,0.0001,2025-05-08 00:00:00+00:00,2025-05-08
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-08 16:00:00+00:00,2025-05-08
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-08 08:00:00+00:00,2025-05-08
1INCH-USDT-SWAP,SWAP,-0.0015132810267854,0.0001,2025-05-08 16:00:00+00:00,2025-05-08
1INCH-USDT-SWAP,SWAP,-0.0012564725182409,0.0001,2025-05-08 08:00:00+00:00,2025-05-08
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-08 00:00:00+00:00,2025-05-08
AAVE-USDT-SWAP,SWAP,2.88218742292e-05,-2.93260791872e-05,2025-05-08 00:00:00+00:00,2025-05-08
AAVE-USDT-SWAP,SWAP,-0.0006132985274327,-2.93260791872e-05,2025-05-08 00:00:00+00:00,2025-05-08
AAVE-USDT-SWAP,SWAP,-2.92862667459e-05,7.0070235012e-05,2025-05-08 08:00:00+00:00,2025-05-08
AAVE-USDT-SWAP,SWAP,-0.0006857851807535,7.0070235012e-05,2025-05-08 08:00:00+00:00,2025-05-08
AAVE-USDT-SWAP,SWAP,-0.0006101853321736,6.36680084777e-05,2025-05-08 16:00:00+00:00,2025-05-08
AAVE-USDT-SWAP,SWAP,6.89918434021e-05,6.36680084777e-05,2025-05-08 16:00:00+00:00,2025-05-08
ACE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-08 00:00:00+00:00,2025-05-08
ACE-USDT-SWAP,SWAP,-0.0024318316383224,0.0001,2025-05-08 00:00:00+00:00,2025-05-08
ACE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-08 16:00:00+00:00,2025-05-08
ACE-USDT-SWAP,SWAP,-0.0017763880266425,0.0001,2025-05-08 16:00:00+00:00,2025-05-08
ACE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-08 08:00:00+00:00,2025-05-08
ACE-USDT-SWAP,SWAP,-0.0019890764051517,0.0001,2025-05-08 08:00:00+00:00,2025-05-08
ACH-USDT-SWAP,SWAP,-0.0009300212540967,5e-05,2025-05-08 16:00:00+00:00,2025-05-08
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-08 16:00:00+00:00,2025-05-08
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-08 20:00:00+00:00,2025-05-08
