instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,-0.0014752047426617,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
1INCH-USDT-SWAP,SWAP,-0.0011663440749929,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
1INCH-USDT-SWAP,SWAP,-0.0014149134484265,0.0001,2025-05-07 00:00:00+00:00,2025-05-07
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 00:00:00+00:00,2025-05-07
AAVE-USDT-SWAP,SWAP,-4.87106780323e-05,-3.00481359402e-05,2025-05-07 00:00:00+00:00,2025-05-07
AAVE-USDT-SWAP,SWAP,-0.0007432411929271,-3.00481359402e-05,2025-05-07 00:00:00+00:00,2025-05-07
AAVE-USDT-SWAP,SWAP,9.58517377748e-05,2.86339223324e-05,2025-05-07 16:00:00+00:00,2025-05-07
AAVE-USDT-SWAP,SWAP,-0.0006089795426622,2.86339223324e-05,2025-05-07 16:00:00+00:00,2025-05-07
AAVE-USDT-SWAP,SWAP,-2.93627860969e-05,9.40426484566e-05,2025-05-07 08:00:00+00:00,2025-05-07
AAVE-USDT-SWAP,SWAP,-0.0007283542532433,9.40426484566e-05,2025-05-07 08:00:00+00:00,2025-05-07
ACE-USDT-SWAP,SWAP,-0.0023737624583128,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
ACE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
ACE-USDT-SWAP,SWAP,-0.0022325179545114,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
ACE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
ACE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 00:00:00+00:00,2025-05-07
ACE-USDT-SWAP,SWAP,-0.0020541287740246,0.0001,2025-05-07 00:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,5e-05,3.48125928521e-05,2025-05-07 00:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,-0.0007966039256536,5e-05,2025-05-07 16:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 16:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 20:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 04:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 12:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,3.87076403925e-05,5e-05,2025-05-07 08:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,-0.0010637462546835,5e-05,2025-05-07 08:00:00+00:00,2025-05-07
ACH-USDT-SWAP,SWAP,-0.0008543226019861,3.48125928521e-05,2025-05-07 00:00:00+00:00,2025-05-07
ACT-USDT-SWAP,SWAP,-0.0007377439718509,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
ACT-USDT-SWAP,SWAP,0.0001,1.92801539187e-05,2025-05-07 00:00:00+00:00,2025-05-07
ACT-USDT-SWAP,SWAP,7.82788347604e-05,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
ACT-USDT-SWAP,SWAP,2.14119322916e-05,7.6362408572e-05,2025-05-07 08:00:00+00:00,2025-05-07
ACT-USDT-SWAP,SWAP,-0.0007750763480621,7.6362408572e-05,2025-05-07 08:00:00+00:00,2025-05-07
ACT-USDT-SWAP,SWAP,-0.0004495106977623,1.92801539187e-05,2025-05-07 00:00:00+00:00,2025-05-07
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
ADA-USD-SWAP,SWAP,-0.0005201836997637,0.0001,2025-05-07 00:00:00+00:00,2025-05-07
ADA-USD-SWAP,SWAP,-0.0005775985661156,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-05-07 00:00:00+00:00,2025-05-07
ADA-USD-SWAP,SWAP,-0.0004751155533875,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
ADA-USDT-SWAP,SWAP,-0.0005396396905032,7.99381214271e-05,2025-05-07 16:00:00+00:00,2025-05-07
ADA-USDT-SWAP,SWAP,-2.58902053618e-05,4.11857284204e-05,2025-05-07 00:00:00+00:00,2025-05-07
ADA-USDT-SWAP,SWAP,-0.0006573902385819,4.11857284204e-05,2025-05-07 00:00:00+00:00,2025-05-07
ADA-USDT-SWAP,SWAP,-0.0005720346914497,8.58633788915e-05,2025-05-07 08:00:00+00:00,2025-05-07
ADA-USDT-SWAP,SWAP,8.71627763297e-05,7.99381214271e-05,2025-05-07 16:00:00+00:00,2025-05-07
ADA-USDT-SWAP,SWAP,4.18779198666e-05,8.58633788915e-05,2025-05-07 08:00:00+00:00,2025-05-07
AEVO-USDT-SWAP,SWAP,-0.0010310693818949,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
AEVO-USDT-SWAP,SWAP,4.58318531487e-05,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
AEVO-USDT-SWAP,SWAP,-0.0009324227858258,4.33213722638e-05,2025-05-07 00:00:00+00:00,2025-05-07
AEVO-USDT-SWAP,SWAP,-4.9922438809e-05,4.33213722638e-05,2025-05-07 00:00:00+00:00,2025-05-07
AEVO-USDT-SWAP,SWAP,-0.0008019745044283,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
AEVO-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
AGLD-USDT-SWAP,SWAP,-0.0010969261698432,-0.0001902316750457,2025-05-07 16:00:00+00:00,2025-05-07
AGLD-USDT-SWAP,SWAP,-3.79569594349e-05,-0.0001902316750457,2025-05-07 16:00:00+00:00,2025-05-07
AGLD-USDT-SWAP,SWAP,-8.93884667346e-05,2.42079240968e-05,2025-05-07 00:00:00+00:00,2025-05-07
AGLD-USDT-SWAP,SWAP,-0.0010198032914265,-3.80849906962e-05,2025-05-07 08:00:00+00:00,2025-05-07
AGLD-USDT-SWAP,SWAP,2.47512519106e-05,-3.80849906962e-05,2025-05-07 08:00:00+00:00,2025-05-07
AGLD-USDT-SWAP,SWAP,-0.0010671073205704,2.42079240968e-05,2025-05-07 00:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,-0.0006849134995983,5e-05,2025-05-07 16:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,-6.11806075903e-05,-6.11806075903e-05,2025-05-07 20:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 12:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,-5.8074997005e-06,-5.8074997005e-06,2025-05-07 04:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,-0.000453076619275,5e-05,2025-05-07 08:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,-0.0002631363289639,5e-05,2025-05-07 00:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 16:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 00:00:00+00:00,2025-05-07
AI16Z-USDT-SWAP,SWAP,5e-05,5e-05,2025-05-07 08:00:00+00:00,2025-05-07
AIDOGE-USDT-SWAP,SWAP,0.0001,3.9569397044e-05,2025-05-07 00:00:00+00:00,2025-05-07
AIDOGE-USDT-SWAP,SWAP,-0.0014498131793547,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
AIDOGE-USDT-SWAP,SWAP,3.82933855721e-05,0.0001,2025-05-07 08:00:00+00:00,2025-05-07
AIDOGE-USDT-SWAP,SWAP,-0.0009016566667141,3.9569397044e-05,2025-05-07 00:00:00+00:00,2025-05-07
AIDOGE-USDT-SWAP,SWAP,-0.0011969359035433,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
AIDOGE-USDT-SWAP,SWAP,0.0001,0.0001,2025-05-07 16:00:00+00:00,2025-05-07
AIXBT-USDT-SWAP,SWAP,-0.0004521941740617,-3.17337461228e-05,2025-05-07 16:00:00+00:00,2025-05-07
AIXBT-USDT-SWAP,SWAP,-0.0009415548199035,-0.0004524916234954,2025-05-07 08:00:00+00:00,2025-05-07
AIXBT-USDT-SWAP,SWAP,-0.0012958496595298,-3.17337461228e-05,2025-05-07 16:00:00+00:00,2025-05-07
AIXBT-USDT-SWAP,SWAP,-9.27301479762e-05,-0.0004524916234954,2025-05-07 08:00:00+00:00,2025-05-07
AIXBT-USDT-SWAP,SWAP,-0.0001233687129116,-0.0001233687129116,2025-05-07 20:00:00+00:00,2025-05-07
