instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USD-SWAP,SWAP,0.0001137693115672,7.269146997e-07,2025-03-22 08:00:00+00:00,2025-03-22
1INCH-USD-SWAP,SWAP,0.0001845481304732,0.0001127479403969,2025-03-22 00:00:00+00:00,2025-03-22
1INCH-USD-SWAP,SWAP,-8.009549162e-07,5.37885838916e-05,2025-03-22 16:00:00+00:00,2025-03-22
1INCH-USDT-SWAP,SWAP,0.0002285461398534,-7.1898679128e-06,2025-03-22 00:00:00+00:00,2025-03-22
1INCH-USDT-SWAP,SWAP,-7.1930890993e-06,7.30874263695e-05,2025-03-22 08:00:00+00:00,2025-03-22
1INCH-USDT-SWAP,SWAP,7.20714156507e-05,1.86752529973e-05,2025-03-22 16:00:00+00:00,2025-03-22
AAVE-USDT-SWAP,SWAP,8.36750346851e-05,2.63285333633e-05,2025-03-22 00:00:00+00:00,2025-03-22
AAVE-USDT-SWAP,SWAP,2.56172890541e-05,4.94323416431e-05,2025-03-22 08:00:00+00:00,2025-03-22
AAVE-USDT-SWAP,SWAP,4.97924027667e-05,2.13502445078e-05,2025-03-22 16:00:00+00:00,2025-03-22
ACE-USDT-SWAP,SWAP,1.22211604948e-05,9.72824404691e-05,2025-03-22 16:00:00+00:00,2025-03-22
ACE-USDT-SWAP,SWAP,5.17784647505e-05,1.31070570221e-05,2025-03-22 08:00:00+00:00,2025-03-22
ACE-USDT-SWAP,SWAP,-5.6648902984e-05,5.10395143497e-05,2025-03-22 00:00:00+00:00,2025-03-22
ACH-USDT-SWAP,SWAP,-0.0010290792629859,-0.0002387728011329,2025-03-22 16:00:00+00:00,2025-03-22
ACH-USDT-SWAP,SWAP,-0.0008859453475331,-0.0010299256162396,2025-03-22 08:00:00+00:00,2025-03-22
ACH-USDT-SWAP,SWAP,-0.0001540105327807,-0.0008937501728268,2025-03-22 00:00:00+00:00,2025-03-22
ACH-USDT-SWAP,SWAP,-0.0001569700089236,-0.0001569700089236,2025-03-22 12:00:00+00:00,2025-03-22
ACH-USDT-SWAP,SWAP,-0.0001012790072695,-0.0001012790072695,2025-03-22 20:00:00+00:00,2025-03-22
ACH-USDT-SWAP,SWAP,-0.0001110553227803,-0.0001110553227803,2025-03-22 04:00:00+00:00,2025-03-22
ACT-USDT-SWAP,SWAP,0.000279065979636,0.0004114948855883,2025-03-22 00:00:00+00:00,2025-03-22
ACT-USDT-SWAP,SWAP,0.0001355005891917,0.0001851349818774,2025-03-22 16:00:00+00:00,2025-03-22
ACT-USDT-SWAP,SWAP,0.0004114954687948,0.0001366034667293,2025-03-22 08:00:00+00:00,2025-03-22
ADA-USD-SWAP,SWAP,5.61370206183e-05,4.08922900279e-05,2025-03-22 08:00:00+00:00,2025-03-22
ADA-USD-SWAP,SWAP,5.74475264515e-05,5.65716309952e-05,2025-03-22 00:00:00+00:00,2025-03-22
ADA-USD-SWAP,SWAP,4.10396023382e-05,0.0001407173116244,2025-03-22 16:00:00+00:00,2025-03-22
ADA-USDT-SWAP,SWAP,-0.0001307905195176,-6.60320127353e-05,2025-03-22 08:00:00+00:00,2025-03-22
ADA-USDT-SWAP,SWAP,-6.66233861631e-05,-6.56312912416e-05,2025-03-22 16:00:00+00:00,2025-03-22
ADA-USDT-SWAP,SWAP,-6.44749789742e-05,-0.0001313774655252,2025-03-22 00:00:00+00:00,2025-03-22
AEVO-USDT-SWAP,SWAP,-6.22287363637e-05,3.08964826773e-05,2025-03-22 08:00:00+00:00,2025-03-22
AEVO-USDT-SWAP,SWAP,3.09256686797e-05,9.2502988422e-05,2025-03-22 16:00:00+00:00,2025-03-22
AEVO-USDT-SWAP,SWAP,0.0003789681312662,-6.04631831651e-05,2025-03-22 00:00:00+00:00,2025-03-22
AGLD-USDT-SWAP,SWAP,-2.03160642627e-05,4.26176251897e-05,2025-03-22 00:00:00+00:00,2025-03-22
AGLD-USDT-SWAP,SWAP,4.20744709916e-05,3.28971685388e-05,2025-03-22 08:00:00+00:00,2025-03-22
AGLD-USDT-SWAP,SWAP,3.29732512418e-05,-0.0012354317696142,2025-03-22 16:00:00+00:00,2025-03-22
AI16Z-USDT-SWAP,SWAP,0.0001469020266168,-0.0001925453437951,2025-03-22 08:00:00+00:00,2025-03-22
AI16Z-USDT-SWAP,SWAP,3.83403224477e-05,0.0001423098927795,2025-03-22 00:00:00+00:00,2025-03-22
AI16Z-USDT-SWAP,SWAP,-0.000190398268543,2.90131143902e-05,2025-03-22 16:00:00+00:00,2025-03-22
AI16Z-USDT-SWAP,SWAP,0.0001896506316377,0.0001896506316377,2025-03-22 04:00:00+00:00,2025-03-22
AI16Z-USDT-SWAP,SWAP,0.0001081467682456,0.0001081467682456,2025-03-22 20:00:00+00:00,2025-03-22
