instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USDT-SWAP,SWAP,-0.0003435910930968,-0.0003435910930968,2025-07-14 00:00:00+00:00,2025-07-14
1INCH-USDT-SWAP,SWAP,-9.04588437938e-05,-9.04588437938e-05,2025-07-14 08:00:00+00:00,2025-07-14
1INCH-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 16:00:00+00:00,2025-07-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 12:00:00+00:00,2025-07-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 20:00:00+00:00,2025-07-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 04:00:00+00:00,2025-07-14
A-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 00:00:00+00:00,2025-07-14
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 16:00:00+00:00,2025-07-14
AAVE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 08:00:00+00:00,2025-07-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 12:00:00+00:00,2025-07-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 20:00:00+00:00,2025-07-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 04:00:00+00:00,2025-07-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
ACE-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 04:00:00+00:00,2025-07-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 12:00:00+00:00,2025-07-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 20:00:00+00:00,2025-07-14
ACH-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 12:00:00+00:00,2025-07-14
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 20:00:00+00:00,2025-07-14
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
ACT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 04:00:00+00:00,2025-07-14
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-07-14 00:00:00+00:00,2025-07-14
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-07-14 08:00:00+00:00,2025-07-14
ADA-USD-SWAP,SWAP,0.0001,0.0001,2025-07-14 16:00:00+00:00,2025-07-14
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 00:00:00+00:00,2025-07-14
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 08:00:00+00:00,2025-07-14
ADA-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 16:00:00+00:00,2025-07-14
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 04:00:00+00:00,2025-07-14
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 20:00:00+00:00,2025-07-14
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
AERO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 12:00:00+00:00,2025-07-14
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 04:00:00+00:00,2025-07-14
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 20:00:00+00:00,2025-07-14
AEVO-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 12:00:00+00:00,2025-07-14
AGLD-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 16:00:00+00:00,2025-07-14
AGLD-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 00:00:00+00:00,2025-07-14
AGLD-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 08:00:00+00:00,2025-07-14
AI16Z-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
AI16Z-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
AI16Z-USDT-SWAP,SWAP,0.0001105754033188,0.0001105754033188,2025-07-14 12:00:00+00:00,2025-07-14
AI16Z-USDT-SWAP,SWAP,5.58063621792e-05,5.58063621792e-05,2025-07-14 04:00:00+00:00,2025-07-14
AI16Z-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
AI16Z-USDT-SWAP,SWAP,8.7448843566e-05,8.7448843566e-05,2025-07-14 20:00:00+00:00,2025-07-14
AIDOGE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 00:00:00+00:00,2025-07-14
AIDOGE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 08:00:00+00:00,2025-07-14
AIDOGE-USDT-SWAP,SWAP,0.0001,0.0001,2025-07-14 16:00:00+00:00,2025-07-14
AIXBT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 20:00:00+00:00,2025-07-14
AIXBT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 04:00:00+00:00,2025-07-14
AIXBT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 08:00:00+00:00,2025-07-14
AIXBT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 00:00:00+00:00,2025-07-14
AIXBT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 12:00:00+00:00,2025-07-14
AIXBT-USDT-SWAP,SWAP,5e-05,5e-05,2025-07-14 16:00:00+00:00,2025-07-14
