timestamp,open,high,low,close,volume
2025-10-15T08:05:00,204.22,204.27,204.22,204.27,26.08
2025-10-15T08:10:00,204.14,204.19,204.13,204.13,723.78
2025-10-14T23:55:00,201.31,201.75,201.28,201.36,32040.3
2025-10-15T00:00:00,201.37,202.16,201.35,202.07,52474.39
2025-10-15T00:05:00,202.06,202.7,202.05,202.65,64223.41
2025-10-15T00:10:00,202.65,202.92,202.32,202.48,57894.73
2025-10-15T00:15:00,202.47,202.7,202.29,202.53,34602.38
2025-10-15T00:20:00,202.53,203.06,202.53,202.81,49529.98
2025-10-15T00:25:00,202.81,203.2,202.61,202.86,43983.47
2025-10-15T00:30:00,202.87,203.2,202.69,203.12,46799.03
2025-10-15T00:35:00,203.12,203.32,202.7,202.93,42970.49
2025-10-15T00:40:00,202.93,202.94,202.54,202.61,35288.08
2025-10-15T00:45:00,202.6,203.26,202.51,203.01,42679.95
2025-10-15T00:50:00,203.0,203.01,202.26,202.37,35896.86
2025-10-15T00:55:00,202.38,202.4,201.92,202.34,54876.56
2025-10-15T01:00:00,202.35,203.07,202.24,202.97,56766.89
2025-10-15T01:05:00,202.97,203.14,202.61,202.76,64829.65
2025-10-15T01:10:00,202.75,202.75,201.47,201.51,117823.66
2025-10-15T01:15:00,201.51,201.88,201.25,201.29,83489.76
2025-10-15T01:20:00,201.3,201.74,201.24,201.53,50902.41
2025-10-15T01:25:00,201.52,202.85,201.33,202.05,81444.51
2025-10-15T01:30:00,202.04,202.93,201.12,201.66,116180.38
2025-10-15T01:35:00,201.67,202.1,201.41,201.96,44611.39
2025-10-15T01:40:00,201.95,202.07,201.52,201.93,35238.71
2025-10-15T01:45:00,201.93,203.15,201.84,202.34,86410.58
2025-10-15T01:50:00,202.33,202.93,202.18,202.79,40487.62
2025-10-15T01:55:00,202.79,203.96,202.69,203.88,109627.2
2025-10-15T02:00:00,203.89,204.0,202.21,202.45,121089.1
2025-10-15T02:05:00,202.45,202.53,201.37,201.71,164537.44
2025-10-15T02:10:00,201.71,202.72,201.64,202.29,56269.01
2025-10-15T02:15:00,202.29,202.72,201.83,202.64,53731.86
2025-10-15T02:20:00,202.64,202.91,202.02,202.89,50635.58
2025-10-15T02:25:00,202.88,202.93,201.71,201.75,46536.8
2025-10-15T02:30:00,201.75,201.97,201.37,201.83,98014.7
2025-10-15T02:35:00,201.83,201.98,201.02,201.36,90412.04
2025-10-15T02:40:00,201.36,201.96,201.3,201.92,37033.52
2025-10-15T02:45:00,201.92,202.88,201.81,202.83,68970.69
2025-10-15T02:50:00,202.83,203.86,202.81,203.42,144817.54
2025-10-15T02:55:00,203.42,203.88,203.37,203.6,62339.95
2025-10-15T03:00:00,203.59,203.75,202.95,203.47,86268.56
2025-10-15T03:05:00,203.47,204.0,203.21,203.8,73742.06
2025-10-15T03:10:00,203.81,205.0,203.72,204.7,120081.97
2025-10-15T03:15:00,204.69,204.98,204.03,204.48,81351.84
2025-10-15T03:20:00,204.49,205.34,204.34,205.1,128033.53
2025-10-15T03:25:00,205.11,205.76,205.0,205.54,115748.17
2025-10-15T03:30:00,205.53,205.66,204.4,204.45,101952.66
2025-10-15T03:35:00,204.45,204.61,203.72,204.0,88006.95
2025-10-15T03:40:00,204.0,204.24,203.66,203.76,55258.72
2025-10-15T03:45:00,203.77,204.18,203.71,204.04,58334.33
2025-10-15T03:50:00,204.04,204.1,203.65,203.69,47347.38
2025-10-15T03:55:00,203.68,203.68,203.21,203.3,53488.03
2025-10-15T04:00:00,203.3,203.63,202.55,202.78,72996.31
2025-10-15T04:05:00,202.78,203.13,202.45,202.79,123873.64
2025-10-15T04:10:00,202.79,202.87,202.24,202.59,122025.15
2025-10-15T04:15:00,202.59,202.83,201.71,201.83,98842.15
2025-10-15T04:20:00,201.83,202.2,201.2,202.0,139942.61
2025-10-15T04:25:00,202.0,202.67,201.95,202.57,51099.09
2025-10-15T04:30:00,202.56,202.61,201.92,202.13,65576.56
2025-10-15T04:35:00,202.12,202.4,201.91,202.2,41709.24
2025-10-15T04:40:00,202.19,202.21,201.01,201.42,83750.98
2025-10-15T04:45:00,201.42,201.7,200.79,201.69,91891.9
2025-10-15T04:50:00,201.69,202.08,201.59,201.86,56523.36
2025-10-15T04:55:00,201.86,201.94,201.27,201.56,49422.99
2025-10-15T05:00:00,201.56,201.69,200.37,201.07,147165.48
2025-10-15T05:05:00,201.06,201.39,200.75,201.03,57529.16
2025-10-15T05:10:00,201.02,201.65,201.0,201.3,56649.35
2025-10-15T05:15:00,201.3,202.13,201.13,201.92,61735.45
2025-10-15T05:20:00,201.92,202.37,201.69,202.05,61921.14
2025-10-15T05:25:00,202.04,202.32,201.85,202.14,29719.35
2025-10-15T05:30:00,202.14,202.6,201.95,202.25,48335.87
2025-10-15T05:35:00,202.25,202.53,201.97,201.98,37776.41
2025-10-15T05:40:00,201.97,202.29,201.84,202.18,25422.22
2025-10-15T05:45:00,202.18,202.61,201.97,202.59,48548.74
2025-10-15T05:50:00,202.59,203.42,202.58,203.39,102163.78
2025-10-15T05:55:00,203.38,203.48,203.12,203.36,49820.32
2025-10-15T06:00:00,203.36,203.92,203.14,203.45,126756.78
2025-10-15T06:05:00,203.46,203.76,203.2,203.69,45728.46
2025-10-15T06:10:00,203.7,203.89,203.44,203.89,48715.38
2025-10-15T06:15:00,203.89,204.39,203.75,204.32,70375.03
2025-10-15T06:20:00,204.31,204.41,203.05,203.3,91863.13
2025-10-15T06:25:00,203.3,203.55,203.05,203.28,52028.62
