timestamp,open,high,low,close,volume,quote_volume,trades_count,source,symbol,data_type
2024-01-01T00:00:00Z,42314.0,42603.2,42289.6,42503.5,8459.477,359196345.08716,88278,binance_futures,BTCUSDT,futures
2024-01-01T01:00:00Z,42503.5,42832.0,42462.0,42647.9,9043.411,385970069.22236,90351,binance_futures,BTCUSDT,futures
2024-01-01T02:00:00Z,42647.9,42676.9,42530.0,42620.4,4653.067,198220641.34219,52550,binance_futures,BTCUSDT,futures
2024-01-01T03:00:00Z,42620.5,42630.0,42270.0,42369.8,8119.88,344422454.8688,84345,binance_futures,BTCUSDT,futures
2024-01-01T04:00:00Z,42369.8,42439.8,42235.2,42436.6,6356.536,269146468.0644,68026,binance_futures,BTCUSDT,futures
2024-01-01T05:00:00Z,42436.6,42440.0,42207.9,42272.6,4139.557,175215160.5833,52705,binance_futures,BTCUSDT,futures
2024-01-01T06:00:00Z,42272.6,42461.3,42239.1,42423.3,3933.019,166612744.39556,49672,binance_futures,BTCUSDT,futures
2024-01-01T07:00:00Z,42423.4,42536.0,42421.7,42527.0,4455.05,189319260.2515,50970,binance_futures,BTCUSDT,futures
2024-01-01T08:00:00Z,42527.1,42597.3,42489.4,42588.2,3673.746,156291085.19659,47409,binance_futures,BTCUSDT,futures
2024-01-01T09:00:00Z,42588.2,42734.2,42570.0,42688.8,5779.875,246593471.27662,66135,binance_futures,BTCUSDT,futures
2024-01-01T10:00:00Z,42688.8,42795.0,42661.1,42727.7,5806.743,248106239.2951,67379,binance_futures,BTCUSDT,futures
2024-01-01T11:00:00Z,42727.7,42800.0,42638.0,42727.6,5965.038,254818376.62847,67461,binance_futures,BTCUSDT,futures
2024-01-01T12:00:00Z,42727.7,42825.2,42651.1,42682.0,6380.463,272710994.37991,67641,binance_futures,BTCUSDT,futures
2024-01-01T13:00:00Z,42682.0,42787.5,42647.9,42753.9,3269.775,139714168.5292,44067,binance_futures,BTCUSDT,futures
