timestamp,open,high,low,close,volume,source,symbol,data_type,volume_quote
2025-09-29T06:08:00Z,4106.01,4106.72,4105.0,4106.25,5098.2,okx,ETHUSDT,futures,2093267.21476
2025-09-29T06:09:00Z,4106.24,4107.4,4106.24,4106.39,4189.64,okx,ETHUSDT,futures,1720551.42862
2025-09-29T06:10:00Z,4106.38,4106.39,4103.6,4103.74,7180.87,okx,ETHUSDT,futures,2947809.30941
2025-09-29T06:11:00Z,4103.74,4104.67,4090.86,4096.6,159155.45,okx,ETHUSDT,futures,65201468.54378
2025-09-29T06:12:00Z,4096.6,4097.02,4094.08,4095.4,32006.05,okx,ETHUSDT,futures,13108681.73863
2025-09-29T06:13:00Z,4095.4,4097.75,4095.39,4097.01,17065.1,okx,ETHUSDT,futures,6991335.9381
2025-09-29T06:14:00Z,4097.01,4097.88,4095.4,4097.88,10608.67,okx,ETHUSDT,futures,4345773.85194
2025-09-29T06:15:00Z,4097.89,4097.89,4095.39,4097.27,19028.39,okx,ETHUSDT,futures,7795124.39591
2025-09-29T06:16:00Z,4097.28,4098.0,4096.37,4097.32,7691.66,okx,ETHUSDT,futures,3151409.31343
2025-09-29T06:17:00Z,4097.32,4103.61,4097.32,4103.38,22240.74,okx,ETHUSDT,futures,9120134.24913
2025-09-29T06:18:00Z,4103.39,4104.0,4102.97,4103.23,9422.08,okx,ETHUSDT,futures,3866293.27915
2025-09-29T06:19:00Z,4103.23,4104.92,4102.1,4104.9,7753.68,okx,ETHUSDT,futures,3181556.2556
2025-09-29T06:20:00Z,4104.9,4106.82,4104.89,4105.72,16477.7,okx,ETHUSDT,futures,6764911.72505
2025-09-29T06:21:00Z,4105.72,4105.72,4103.55,4103.67,6841.19,okx,ETHUSDT,futures,2807680.35666
2025-09-29T06:22:00Z,4103.67,4106.76,4103.66,4106.76,10442.67,okx,ETHUSDT,futures,4287467.33564
2025-09-29T06:23:00Z,4106.76,4107.56,4103.91,4104.51,7945.02,okx,ETHUSDT,futures,3262464.5068
2025-09-29T06:24:00Z,4104.51,4104.52,4100.63,4100.75,12099.19,okx,ETHUSDT,futures,4963455.71742
2025-09-29T06:25:00Z,4100.75,4100.75,4095.03,4096.81,27681.44,okx,ETHUSDT,futures,11342346.17008
2025-09-29T06:26:00Z,4096.8,4099.76,4096.3,4099.6,13190.53,okx,ETHUSDT,futures,5405833.0237
2025-09-29T06:27:00Z,4099.59,4100.0,4098.16,4100.0,7955.65,okx,ETHUSDT,futures,3261248.09786
2025-09-29T06:28:00Z,4100.0,4102.73,4099.99,4102.66,9538.04,okx,ETHUSDT,futures,3912204.51751
2025-09-29T06:29:00Z,4102.66,4102.7,4100.25,4101.01,4493.82,okx,ETHUSDT,futures,1843108.72651
2025-09-29T06:30:00Z,4101.01,4103.16,4100.84,4103.0,4551.99,okx,ETHUSDT,futures,1867298.01267
2025-09-29T06:31:00Z,4103.01,4103.01,4100.0,4102.08,13505.15,okx,ETHUSDT,futures,5538588.5961
2025-09-29T06:32:00Z,4102.09,4104.47,4102.08,4102.18,8288.97,okx,ETHUSDT,futures,3401477.54083
2025-09-29T06:33:00Z,4102.19,4102.78,4100.11,4102.39,5780.63,okx,ETHUSDT,futures,2370770.01845
2025-09-29T06:34:00Z,4102.4,4103.47,4101.15,4101.51,9506.09,okx,ETHUSDT,futures,3899860.06733
2025-09-29T06:35:00Z,4101.51,4103.14,4101.36,4102.67,5817.9,okx,ETHUSDT,futures,2386820.7436
2025-09-29T06:36:00Z,4102.67,4103.59,4102.14,4102.23,5715.54,okx,ETHUSDT,futures,2345094.8295
2025-09-29T06:37:00Z,4102.23,4104.34,4101.75,4101.76,11739.04,okx,ETHUSDT,futures,4816096.09628
2025-09-29T06:38:00Z,4101.76,4102.87,4101.76,4102.87,2937.64,okx,ETHUSDT,futures,1205119.34856
2025-09-29T06:39:00Z,4102.86,4105.6,4102.86,4105.59,7644.1,okx,ETHUSDT,futures,3137844.12036
2025-09-29T06:40:00Z,4105.59,4105.6,4105.0,4105.44,3834.49,okx,ETHUSDT,futures,1574179.36608
2025-09-29T06:41:00Z,4105.44,4107.5,4105.07,4106.76,14587.34,okx,ETHUSDT,futures,5989732.22243
2025-09-29T06:42:00Z,4106.76,4106.77,4106.11,4106.36,3349.64,okx,ETHUSDT,futures,1375537.84234
2025-09-29T06:43:00Z,4106.36,4107.1,4105.52,4107.09,3485.62,okx,ETHUSDT,futures,1431295.44791
2025-09-29T06:44:00Z,4107.1,4107.5,4106.98,4107.41,3877.99,okx,ETHUSDT,futures,1592769.62188
2025-09-29T06:45:00Z,4107.41,4107.42,4105.13,4106.01,16435.45,okx,ETHUSDT,futures,6748523.26104
